"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"時系列名","産業分類","事業所規模","年","年平均","１月","２月","３月","４月","５月","６月","７月","８月","９月","１０月","１１月","１２月"
"離職率","TL調査産業計","３０人以上","2006.0","1.86","1.56","1.58","2.49","3.25","2.09","1.49","1.39","1.76","1.6","2.6","1.28","1.17"
"離職率","TL調査産業計","３０人以上","2007.0","1.69","0.96","1.63","1.72","3.69","1.65","1.65","1.45","1.52","2.17","1.75","0.97","1.07"
"離職率","TL調査産業計","３０人以上","2008.0","1.42","0.77","1.16","1.2","3.59","1.34","1.22","1.06","1.35","1.26","1.58","1.11","1.42"
"離職率","TL調査産業計","３０人以上","2009.0","1.73","1.49","2.08","2.1","3.99","1.19","1.63","1.62","1.35","1.09","1.71","1.4","1.12"
"離職率","TL調査産業計","３０人以上","2010.0","1.79","1.99","1.59","1.8","4.35","1.82","1.8","1.69","1.5","0.87","2.01","0.92","1.11"
"離職率","TL調査産業計","３０人以上","2011.0","1.76","1.56","1.51","1.73","4.37","1.48","1.35","1.22","1.19","1.47","2.87","1.26","1.1"
"離職率","TL調査産業計","３０人以上","2012.0","1.87","1.29","1.14","2.02","3.37","2.1","1.95","1.65","1.56","2.06","2.05","1.19","2.08"
"離職率（前年差）","TL調査産業計","３０人以上","2007.0","-0.17","-0.6","0.05","-0.77","0.44","-0.44","0.16","0.06","-0.24","0.57","-0.85","-0.31","-0.1"
"離職率（前年差）","TL調査産業計","３０人以上","2008.0","-0.27","-0.19","-0.47","-0.52","-0.1","-0.31","-0.43","-0.39","-0.17","-0.91","-0.17","0.14","0.35"
"離職率（前年差）","TL調査産業計","３０人以上","2009.0","0.31","0.72","0.92","0.9","0.4","-0.15","0.41","0.56","0.0","-0.17","0.13","0.29","-0.3"
"離職率（前年差）","TL調査産業計","３０人以上","2010.0","0.06","0.5","-0.49","-0.3","0.36","0.63","0.17","0.07","0.15","-0.22","0.3","-0.48","-0.01"
"離職率（前年差）","TL調査産業計","３０人以上","2011.0","-0.03","-0.43","-0.08","-0.07","0.02","-0.34","-0.45","-0.47","-0.31","0.6","0.86","0.34","-0.01"
"離職率（前年差）","TL調査産業計","３０人以上","2012.0","0.11","-0.27","-0.37","0.29","-1.0","0.62","0.6","0.43","0.37","0.59","-0.82","-0.07","0.98"
"離職率","C鉱業、採石業、砂利採取業","３０人以上","2006.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率","C鉱業、採石業、砂利採取業","３０人以上","2007.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率","C鉱業、採石業、砂利採取業","３０人以上","2008.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率","C鉱業、採石業、砂利採取業","３０人以上","2009.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率","C鉱業、採石業、砂利採取業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率","C鉱業、採石業、砂利採取業","３０人以上","2011.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率","C鉱業、採石業、砂利採取業","３０人以上","2012.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2007.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2008.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2009.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2011.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2012.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率","D建設業","３０人以上","2006.0","0.65","Ｘ","Ｘ","0.28","2.62","0.28","2.08","0.0","0.28","0.82","1.38","Ｘ","Ｘ"
"離職率","D建設業","３０人以上","2007.0","1.27","0.0","1.49","1.11","1.69","1.66","2.01","0.76","2.86","0.65","1.37","0.8","0.82"
"離職率","D建設業","３０人以上","2008.0","1.26","0.93","0.68","2.4","2.26","1.11","0.87","0.92","1.64","1.06","1.36","0.79","1.06"
"離職率","D建設業","３０人以上","2009.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"離職率","D建設業","３０人以上","2010.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"離職率","D建設業","３０人以上","2011.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"離職率","D建設業","３０人以上","2012.0","1.82","0.9","0.73","0.39","5.27","1.33","1.68","0.34","3.61","0.23","3.68","1.35","2.29"
"離職率（前年差）","D建設業","３０人以上","2007.0","0.62","Ｘ","Ｘ","0.83","-0.93","1.38","-0.07","0.76","2.58","-0.17","-0.01","Ｘ","Ｘ"
"離職率（前年差）","D建設業","３０人以上","2008.0","-0.01","0.93","-0.81","1.29","0.57","-0.55","-1.14","0.16","-1.22","0.41","-0.01","-0.01","0.24"
"離職率（前年差）","D建設業","３０人以上","2009.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"離職率（前年差）","D建設業","３０人以上","2010.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
